sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
1037,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.5682899975217879,0.022950000129640102,0.0,0,18,1,1,0.9967451095581055,0.00013634091010317206,ai,ai_success,standard,[1],"[0, 1, 2]","[62, 85, 59, 30, 121, 114, 55, 45, 125, 102]","[0.0006912020617164671, 0.9957910776138306, 0.0032999818213284016, 6.0312129789963365e-05, 2.1049183487775736e-05, 0.00013634091010317206]",1200,4,0,0,0,1,0,0
1038,E,2,6.0,baseline,0,1,0,0,0,0,0,0.015509984223172069,0.015509984223172069,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1038,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011869997251778841,0.011869997251778841,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1039,E,2,6.0,baseline,1,1,0,0,2,2,0,37.65421299613081,37.65421299613081,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[64, 80, 90, 93, 70, 87, 69, 72, 66, 88]",[],0,0,0,0,0,0,0,0
1039,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.548539992654696,0.02199001028202474,0.0,0,18,1,1,0.9971970319747925,0.00010828315862454474,ai,ai_success,standard,[1],"[0, 1, 2]","[80, 93, 2, 90, 64, 87, 69, 66, 70, 72]","[0.0005323391524143517, 0.9972478747367859, 0.0020623281598091125, 3.103500421275385e-05, 1.809025343391113e-05, 0.00010828315862454474]",1200,4,0,0,0,1,0,0
1040,E,2,6.0,baseline,3,1,0,0,160,160,0,39.05222401954234,39.05222401954234,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[106, 88, 121, 85, 71, 86, 91, 95, 80, 79]",[],0,0,0,0,0,0,0,0
1040,E,2,6.0,nsgrand,3,1,0,0,1,1,0,3.6958959826733917,0.02362998202443123,0.0,0,18,1,3,0.996650755405426,0.0002950337657239288,ai,ai_success,standard,[3],"[0, 1, 2]","[88, 91, 80, 121, 106, 85, 86, 71, 95, 90]","[0.0003811893693637103, 1.099939618143253e-05, 0.015381877310574055, 0.8822259902954102, 0.101704902946949, 0.0002950337657239288]",1200,4,0,0,0,1,0,0
1041,E,2,6.0,baseline,0,1,0,0,0,0,0,0.015289988368749619,0.015289988368749619,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1041,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011440017260611057,0.011440017260611057,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1042,E,2,6.0,baseline,0,1,0,0,0,0,0,0.011230004020035267,0.011230004020035267,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1042,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010790012311190367,0.010790012311190367,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1043,E,2,6.0,baseline,0,1,0,0,0,0,0,0.010759977158159018,0.010759977158159018,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1043,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010510004358366132,0.010510004358366132,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1044,E,2,6.0,baseline,1,1,0,0,1,1,0,37.589023006148636,37.589023006148636,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[127, 24, 62, 28, 52, 109, 63, 97, 56, 59]",[],0,0,0,0,0,0,0,0
1044,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.5999790048226714,0.022160005755722523,0.0,0,18,1,1,0.9969248175621033,9.75327639025636e-05,ai,ai_success,standard,[1],"[0, 1, 2]","[127, 7, 109, 24, 46, 12, 91, 89, 97, 52]","[0.0004196803201921284, 0.9977193474769592, 0.0017181294970214367, 2.8989161364734173e-05, 1.6149077055160888e-05, 9.75327639025636e-05]",1200,4,0,0,0,1,0,0
1045,E,2,6.0,baseline,0,1,0,0,0,0,0,0.014810007996857166,0.014810007996857166,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1045,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011489988537505269,0.011489988537505269,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1046,E,2,6.0,baseline,1,1,0,0,1,1,0,37.706942996010184,37.706942996010184,0.0,0,24,1,-1,,,baseline,baseline_search,none,"[0, 1, 2, 3, 4]",[],"[91, 74, 30, 67, 66, 65, 52, 88, 75, 73]",[],0,0,0,0,0,0,0,0
1046,E,2,6.0,nsgrand,1,1,0,0,1,1,0,1.5591000264976174,0.022190011804923415,0.0,0,18,1,1,0.9959503412246704,0.00013278835103847086,ai,ai_success,standard,[1],"[0, 1, 2]","[91, 45, 49, 74, 67, 65, 120, 73, 66, 52]","[0.0005082744755782187, 0.9983219504356384, 0.0009969347156584263, 2.2024452846380882e-05, 1.7940861653187312e-05, 0.00013278835103847086]",1200,4,0,0,0,1,0,0
1047,E,2,6.0,baseline,0,1,0,0,0,0,0,0.01466000685468316,0.01466000685468316,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1047,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.011689990060403943,0.011689990060403943,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
1048,E,2,6.0,baseline,0,1,0,0,0,0,0,0.011149997590109706,0.011149997590109706,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,[0],[],[],[],0,0,0,0,0,0,0,0
1048,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010559975635260344,0.010559975635260344,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
