sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,policy_action,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
714,E,2,6.0,strong_symbolic,1,1,0,0,2,2,0,156.63337195292115,156.63337195292115,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[96, 42, 98, 20, 84, 70, 72, 88, 78, 31]",[],0,0,0,0,0,0,0,0
715,E,2,6.0,baseline,0,1,0,0,0,0,0,0.01739896833896637,0.01739896833896637,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
715,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010190065950155258,0.010190065950155258,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
715,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008899951353669167,0.008899951353669167,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
716,E,2,6.0,baseline,0,1,0,0,0,0,0,0.009150011464953423,0.009150011464953423,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
716,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008860137313604355,0.008860137313604355,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
716,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008728820830583572,0.008728820830583572,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
717,E,2,6.0,baseline,2,1,0,0,3,3,0,32.06615895032883,32.06615895032883,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[36, 42, 26, 11, 22, 21, 60, 44, 19, 38]",[],0,0,0,0,0,0,0,0
717,E,2,6.0,nsgrand,2,1,0,0,1,1,0,2.50717019662261,0.022369902580976486,0.0,0,18,1,2,0.9710385799407959,0.00010265215678373352,ai,ai_success,standard,ai_search,[2],"[0, 1, 2]","[36, 42, 26, 122, 38, 32, 117, 119, 23, 9]","[2.5143495804513805e-05, 0.003108376171439886, 0.9793018102645874, 0.01715678721666336, 0.0003054254630114883, 0.00010265215678373352]",1200,4,0,0,0,1,0,0
717,E,2,6.0,strong_symbolic,2,1,0,0,3,3,0,155.9673671144992,155.9673671144992,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4, 5]",[],"[36, 42, 26, 11, 22, 21, 60, 44, 19, 38]",[],0,0,0,0,0,0,0,0
718,E,2,6.0,baseline,0,1,0,0,0,0,0,0.016900012269616127,0.016900012269616127,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
718,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.010399846360087395,0.010399846360087395,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
718,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.00879005528986454,0.00879005528986454,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
719,E,2,6.0,baseline,0,1,0,0,0,0,0,0.008929986506700516,0.008929986506700516,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
719,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.00912998802959919,0.00912998802959919,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
719,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008570030331611633,0.008570030331611633,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
720,E,2,6.0,baseline,0,1,0,0,0,0,0,0.008719973266124725,0.008719973266124725,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
720,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008640112355351448,0.008640112355351448,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
720,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.008499948307871819,0.008499948307871819,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
721,E,2,6.0,baseline,0,1,0,0,0,0,0,0.009079929441213608,0.009079929441213608,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
721,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008760020136833191,0.008760020136833191,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
721,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.00850902870297432,0.00850902870297432,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
722,E,2,6.0,baseline,0,1,0,0,0,0,0,0.009200070053339005,0.009200070053339005,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
722,E,2,6.0,nsgrand,0,1,0,0,0,0,0,0.008809845894575119,0.008809845894575119,0.0,0,0,-1,-1,1.0,0.0,hard_decision,hard_decision,hard_decision,hard_decision,[0],[],[],[],0,0,0,0,0,0,0,0
722,E,2,6.0,strong_symbolic,0,1,0,0,0,0,0,0.00872020609676838,0.00872020609676838,0.0,0,0,1,-1,,,hard_decision,hard_decision,none,none,[0],[],[],[],0,0,0,0,0,0,0,0
723,E,2,6.0,baseline,1,1,1,3,24,24,0,33.456468023359776,33.456468023359776,0.0,0,24,1,-1,,,baseline,baseline_search,none,none,"[0, 1, 2, 3, 4]",[],"[3, 41, 85, 66, 68, 69, 67, 73, 99, 78]",[],0,0,0,0,0,0,0,0
