sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
22,A,0,-2.0,baseline,16,0,1,16,2499,2499,0,55.091366986744106,55.091366986744106,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[2, 88, 69, 91, 110, 119, 82, 105, 92, 81]",[],0,0,0,0,0,0,0,0
22,A,0,-2.0,nsgrand,16,0,1,16,3999,0,3999,196.9474000215996,0.0,194.98604198452085,1,0,-1,5,0.000233385173487477,0.9998468160629272,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
23,A,0,-2.0,baseline,20,0,1,20,2499,2499,0,55.15874701086432,55.15874701086432,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[120, 16, 71, 115, 111, 75, 124, 117, 101, 34]",[],0,0,0,0,0,0,0,0
23,A,0,-2.0,nsgrand,20,0,1,20,3999,0,3999,194.31553600588813,0.0,192.33161900774576,1,0,-1,5,0.0001724547619232908,0.9999076128005981,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
24,A,0,-2.0,baseline,16,0,1,16,2499,2499,0,55.8272429916542,55.8272429916542,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[23, 78, 43, 12, 29, 28, 65, 42, 24, 115]",[],0,0,0,0,0,0,0,0
24,A,0,-2.0,nsgrand,16,0,1,16,3999,0,3999,191.8980109912809,0.0,189.91595398983918,1,0,-1,5,0.0001715196849545464,0.9998700618743896,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
25,A,0,-2.0,baseline,18,0,1,18,2499,2499,0,54.36055199243128,54.36055199243128,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[84, 37, 82, 106, 76, 66, 111, 6, 81, 83]",[],0,0,0,0,0,0,0,0
25,A,0,-2.0,nsgrand,18,0,1,18,3999,0,3999,190.25984199834056,0.0,188.31999399117194,1,0,-1,5,0.0001780300954123959,0.9998985528945923,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
26,A,0,-2.0,baseline,22,0,1,22,2499,2499,0,55.2611360035371,55.2611360035371,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[76, 96, 72, 92, 24, 106, 91, 83, 32, 90]",[],0,0,0,0,0,0,0,0
26,A,0,-2.0,nsgrand,22,0,1,22,3999,0,3999,197.64859401038848,0.0,195.76951701310463,1,0,-1,5,0.00019737952970899642,0.9998691082000732,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
