sample_id,profile,profile_id,snr_db,decoder,true_error_weight,decoder_success,block_error,bit_errors,queries,primary_queries,fallback_queries,elapsed_ms,primary_elapsed_ms,fallback_elapsed_ms,fallback_used,candidate_pool_size,oracle_pool_hit,predicted_weight_top,confidence_prob,predicted_overflow_prob,stage,gate_reason,search_mode,allowed_weights_json,top_segment_ids_json,pool_positions_top10_json,predicted_weight_distribution_json,primary_budget,primary_max_weight,fallback_budget,fallback_pool_size,fallback_max_weight,ai_success,fallback_success,presearch_gate
15,C,1,0.0,nsgrand,12,0,1,12,3999,0,3999,199.01894600479864,0.0,197.201626986498,1,0,-1,5,0.0013891244307160378,0.999727189540863,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
16,C,1,0.0,baseline,13,0,1,13,2499,2499,0,57.08304399740882,57.08304399740882,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[68, 57, 38, 71, 14, 33, 24, 7, 39, 73]",[],0,0,0,0,0,0,0,0
16,C,1,0.0,nsgrand,13,0,1,13,3999,0,3999,197.02424798742868,0.0,195.12670100084506,1,0,-1,5,0.001475462457165122,0.9998050332069397,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
17,C,1,0.0,baseline,14,0,1,14,2499,2499,0,55.37859498872422,55.37859498872422,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[30, 60, 59, 44, 43, 65, 10, 27, 36, 47]",[],0,0,0,0,0,0,0,0
17,C,1,0.0,nsgrand,14,0,1,14,3999,0,3999,197.24628701806068,0.0,195.47674898058176,1,0,-1,5,0.00042958668200299144,0.9999072551727295,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
18,C,1,0.0,baseline,7,0,1,7,2499,2499,0,54.87680798978545,54.87680798978545,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[100, 112, 4, 95, 68, 89, 83, 23, 122, 9]",[],0,0,0,0,0,0,0,0
18,C,1,0.0,nsgrand,7,0,1,7,3999,0,3999,196.78507998469286,0.0,194.97489198693074,1,0,-1,5,0.008085733279585838,0.9991540908813477,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
19,C,1,0.0,baseline,10,0,1,10,2499,2499,0,55.8939519978594,55.8939519978594,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[102, 85, 42, 79, 75, 80, 64, 71, 97, 115]",[],0,0,0,0,0,0,0,0
19,C,1,0.0,nsgrand,10,0,1,10,3999,0,3999,196.22447399888188,0.0,194.51019499683753,1,0,-1,5,0.0021392349153757095,0.9996817111968994,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
20,C,1,0.0,baseline,14,0,1,14,2499,2499,0,54.96662898804061,54.96662898804061,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[16, 86, 48, 94, 110, 1, 120, 76, 56, 83]",[],0,0,0,0,0,0,0,0
20,C,1,0.0,nsgrand,14,0,1,14,3999,0,3999,197.4576359789353,0.0,195.6722770119086,1,0,-1,5,0.0008941341657191515,0.9998641014099121,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
21,C,1,0.0,baseline,7,0,1,7,2499,2499,0,54.75270899478346,54.75270899478346,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[2, 97, 73, 86, 93, 91, 61, 125, 99, 14]",[],0,0,0,0,0,0,0,0
21,C,1,0.0,nsgrand,7,0,1,7,3999,0,3999,197.03689898597077,0.0,195.28722899849527,1,0,-1,5,0.004075036849826574,0.9988378882408142,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
22,C,1,0.0,baseline,12,0,1,12,2499,2499,0,56.55254700104706,56.55254700104706,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[68, 117, 10, 80, 60, 116, 122, 40, 53, 127]",[],0,0,0,0,0,0,0,0
22,C,1,0.0,nsgrand,12,0,1,12,3999,0,3999,195.87380602024496,0.0,194.06885802163742,1,0,-1,5,0.001804992905817926,0.9997312426567078,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
23,C,1,0.0,baseline,5,0,1,5,2499,2499,0,55.804353003622964,55.804353003622964,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[109, 77, 80, 110, 108, 112, 4, 107, 15, 82]",[],0,0,0,0,0,0,0,0
23,C,1,0.0,nsgrand,5,0,1,5,3999,0,3999,194.3619159865193,0.0,192.69378698663786,1,0,-1,5,0.02329540066421032,0.9678766131401062,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
24,C,1,0.0,baseline,12,0,1,12,2499,2499,0,55.23965600878,55.23965600878,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[118, 6, 8, 78, 88, 37, 13, 107, 106, 1]",[],0,0,0,0,0,0,0,0
24,C,1,0.0,nsgrand,12,0,1,12,3999,0,3999,194.62787499651313,0.0,192.8496150067076,1,0,-1,5,0.0010361558524891734,0.9998462200164795,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
25,C,1,0.0,baseline,13,0,1,13,2499,2499,0,55.562565015861765,55.562565015861765,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[3, 116, 10, 17, 104, 2, 124, 108, 113, 78]",[],0,0,0,0,0,0,0,0
25,C,1,0.0,nsgrand,13,0,1,13,3999,0,3999,198.77043698215857,0.0,196.9840590027161,1,0,-1,5,0.001110933953896165,0.9998101592063904,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
26,C,1,0.0,baseline,21,0,1,21,2499,2499,0,56.93088500993326,56.93088500993326,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[50, 39, 37, 38, 35, 41, 43, 54, 47, 42]",[],0,0,0,0,0,0,0,0
26,C,1,0.0,nsgrand,21,0,1,21,3999,0,3999,196.98602802236564,0.0,195.03469197661616,1,0,-1,5,0.0003599472693167627,0.9999022483825684,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
27,C,1,0.0,baseline,6,0,1,6,2499,2499,0,56.15145101910457,56.15145101910457,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[114, 32, 11, 91, 127, 121, 61, 97, 51, 25]",[],0,0,0,0,0,0,0,0
27,C,1,0.0,nsgrand,6,0,1,6,3999,0,3999,195.0027319835499,0.0,193.0791929771658,1,0,-1,5,0.0028929722029715776,0.9980757236480713,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
28,C,1,0.0,baseline,18,0,1,18,2499,2499,0,55.23556697880849,55.23556697880849,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[63, 22, 6, 4, 51, 87, 124, 69, 98, 15]",[],0,0,0,0,0,0,0,0
28,C,1,0.0,nsgrand,18,0,1,18,3999,0,3999,196.77656999556348,0.0,194.89171201712452,1,0,-1,5,0.0004471598076634109,0.9998999834060669,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
29,C,1,0.0,baseline,10,0,1,10,2499,2499,0,55.417424999177456,55.417424999177456,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[120, 56, 17, 84, 32, 14, 90, 20, 117, 96]",[],0,0,0,0,0,0,0,0
29,C,1,0.0,nsgrand,10,0,1,10,3999,0,3999,203.6143470031675,0.0,201.73131799674593,1,0,-1,5,0.001631494495086372,0.9994668364524841,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
30,C,1,0.0,baseline,21,0,1,21,2499,2499,0,55.36488600773737,55.36488600773737,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[21, 0, 33, 8, 58, 24, 59, 47, 13, 20]",[],0,0,0,0,0,0,0,0
30,C,1,0.0,nsgrand,21,0,1,21,3999,0,3999,196.32735301274806,0.0,194.31623601121828,1,0,-1,5,0.0008586403564549983,0.9998470544815063,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
31,C,1,0.0,baseline,15,0,1,15,2499,2499,0,55.571934004547074,55.571934004547074,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[65, 15, 52, 35, 25, 57, 40, 37, 79, 78]",[],0,0,0,0,0,0,0,0
31,C,1,0.0,nsgrand,15,0,1,15,3999,0,3999,197.70507400971837,0.0,195.94911599415354,1,0,-1,5,0.0004434086149558425,0.9998949766159058,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
32,C,1,0.0,baseline,8,0,1,8,2499,2499,0,55.87664199993014,55.87664199993014,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[31, 46, 49, 68, 95, 53, 18, 114, 103, 60]",[],0,0,0,0,0,0,0,0
32,C,1,0.0,nsgrand,8,0,1,8,3999,0,3999,200.36967698251829,0.0,198.2805999869015,1,0,-1,5,0.006865510251373053,0.9986662864685059,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
33,C,1,0.0,baseline,13,0,1,13,2499,2499,0,57.17872400418855,57.17872400418855,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[15, 78, 119, 117, 81, 57, 118, 33, 22, 31]",[],0,0,0,0,0,0,0,0
33,C,1,0.0,nsgrand,13,0,1,13,3999,0,3999,195.3396890021395,0.0,193.57122099609114,1,0,-1,5,0.0012503296602517366,0.9998145699501038,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
34,C,1,0.0,baseline,14,0,1,14,2499,2499,0,56.143611000152305,56.143611000152305,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[39, 32, 33, 96, 22, 109, 79, 43, 23, 17]",[],0,0,0,0,0,0,0,0
34,C,1,0.0,nsgrand,14,0,1,14,3999,0,3999,196.87973000691272,0.0,194.86174199846573,1,0,-1,5,0.0007509874412789941,0.9998503923416138,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
35,C,1,0.0,baseline,12,0,1,12,2499,2499,0,55.64461401081644,55.64461401081644,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[46, 80, 67, 83, 98, 108, 81, 60, 100, 90]",[],0,0,0,0,0,0,0,0
35,C,1,0.0,nsgrand,12,0,1,12,3999,0,3999,196.69445100589655,0.0,194.69730299897492,1,0,-1,5,0.001359427347779274,0.9997417330741882,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
36,C,1,0.0,baseline,13,0,1,13,2499,2499,0,55.438584997318685,55.438584997318685,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[15, 118, 27, 32, 109, 5, 107, 8, 65, 10]",[],0,0,0,0,0,0,0,0
36,C,1,0.0,nsgrand,13,0,1,13,3999,0,3999,201.29532099235803,0.0,199.39509299001656,1,0,-1,5,0.0005630312371067703,0.9998869895935059,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1
