baseline_sample_id,baseline_profile,baseline_profile_id,baseline_snr_db,baseline_decoder,baseline_true_error_weight,baseline_decoder_success,baseline_block_error,baseline_bit_errors,baseline_queries,baseline_primary_queries,baseline_fallback_queries,baseline_elapsed_ms,baseline_primary_elapsed_ms,baseline_fallback_elapsed_ms,baseline_fallback_used,baseline_candidate_pool_size,baseline_oracle_pool_hit,baseline_predicted_weight_top,baseline_confidence_prob,baseline_predicted_overflow_prob,baseline_stage,baseline_gate_reason,baseline_search_mode,baseline_allowed_weights_json,baseline_top_segment_ids_json,baseline_pool_positions_top10_json,baseline_predicted_weight_distribution_json,baseline_primary_budget,baseline_primary_max_weight,baseline_fallback_budget,baseline_fallback_pool_size,baseline_fallback_max_weight,baseline_ai_success,baseline_fallback_success,baseline_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,baseline_better_block_error
22,E,2,0.0,baseline,15,0,1,15,2499,2499,0,55.53260399028659,55.53260399028659,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[19, 38, 25, 84, 18, 90, 14, 55, 53, 57]",[],0,0,0,0,0,0,0,0,22,E,2,0.0,nsgrand,15,0,1,15,3999,0,3999,194.3425549834501,0.0,192.35814799321815,1,0,-1,5,0.0006909631192684174,0.999813973903656,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,22,E,0.0,15,1500,138.8099509931635,0,0,0
23,E,2,0.0,baseline,5,0,1,5,2499,2499,0,55.29355598264374,55.29355598264374,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[38, 55, 40, 23, 93, 111, 18, 124, 121, 14]",[],0,0,0,0,0,0,0,0,23,E,2,0.0,nsgrand,5,0,1,5,3999,0,3999,194.44962599663995,0.0,192.42018900695257,1,0,-1,5,0.03717666119337082,0.9716586470603943,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,23,E,0.0,5,1500,139.1560700139962,0,0,0
24,E,2,0.0,baseline,7,0,1,7,2499,2499,0,55.730022984789684,55.730022984789684,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[118, 17, 89, 50, 40, 117, 52, 20, 58, 9]",[],0,0,0,0,0,0,0,0,24,E,2,0.0,nsgrand,7,0,1,7,3999,0,3999,189.3426280003041,0.0,187.55583901656792,1,0,-1,5,0.05351345241069794,0.9839199185371399,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,24,E,0.0,7,1500,133.61260501551442,0,0,0
25,E,2,0.0,baseline,8,0,1,8,2499,2499,0,55.23944698506966,55.23944698506966,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[3, 80, 74, 87, 66, 106, 70, 127, 84, 107]",[],0,0,0,0,0,0,0,0,25,E,2,0.0,nsgrand,8,0,1,8,3999,0,3999,190.0269330071751,0.0,188.25112402555533,1,0,-1,5,0.002917621983215213,0.9996103644371033,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,25,E,0.0,8,1500,134.78748602210544,0,0,0
26,E,2,0.0,baseline,17,0,1,17,2499,2499,0,55.95121200894937,55.95121200894937,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[49, 4, 31, 21, 118, 100, 116, 45, 68, 56]",[],0,0,0,0,0,0,0,0,26,E,2,0.0,nsgrand,17,0,1,17,3999,0,3999,197.88777301437221,0.0,196.1185039835982,1,0,-1,5,0.0006154052680358291,0.999823272228241,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,26,E,0.0,17,1500,141.93656100542285,0,0,0
27,E,2,0.0,baseline,7,0,1,7,2499,2499,0,55.76765298610553,55.76765298610553,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[8, 36, 119, 57, 26, 31, 34, 11, 118, 56]",[],0,0,0,0,0,0,0,0,27,E,2,0.0,nsgrand,7,0,1,7,3999,0,3999,194.8464930173941,0.0,192.83800601260737,1,0,-1,5,0.006405690684914589,0.9965119957923889,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,27,E,0.0,7,1500,139.07884003128856,0,0,0
28,E,2,0.0,baseline,13,0,1,13,2499,2499,0,54.87509901286103,54.87509901286103,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[31, 23, 2, 127, 85, 106, 118, 25, 10, 84]",[],0,0,0,0,0,0,0,0,28,E,2,0.0,nsgrand,13,0,1,13,3999,0,3999,190.83795900223777,0.0,188.9679409796372,1,0,-1,5,0.0005651003448292613,0.9998840093612671,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,28,E,0.0,13,1500,135.96285998937674,0,0,0
29,E,2,0.0,baseline,9,0,1,9,2499,2499,0,55.80978299258277,55.80978299258277,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[126, 113, 60, 59, 19, 16, 104, 33, 95, 49]",[],0,0,0,0,0,0,0,0,29,E,2,0.0,nsgrand,9,0,1,9,3999,0,3999,196.0450249898713,0.0,194.00440799654461,1,0,-1,5,0.003973526414483786,0.9996160268783569,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,29,E,0.0,9,1500,140.23524199728854,0,0,0
30,E,2,0.0,baseline,12,0,1,12,2499,2499,0,57.93725900002755,57.93725900002755,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[97, 94, 32, 53, 44, 18, 121, 92, 125, 87]",[],0,0,0,0,0,0,0,0,30,E,2,0.0,nsgrand,12,0,1,12,3999,0,3999,193.36117201601155,0.0,191.31130498135462,1,0,-1,5,0.0010402541374787688,0.9997838139533997,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,30,E,0.0,12,1500,135.423913015984,0,0,0
31,E,2,0.0,baseline,7,0,1,7,2499,2499,0,56.42481800168753,56.42481800168753,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,"[0, 1, 2, 3, 4]",[],"[20, 74, 17, 9, 62, 86, 121, 28, 41, 5]",[],0,0,0,0,0,0,0,0,31,E,2,0.0,nsgrand,7,0,1,7,3999,0,3999,195.37916898843832,0.0,193.64065100671723,1,0,-1,5,0.004715239629149437,0.9883965849876404,fallback_fail,presearch_overflow_direct,direct_fallback,[],[],[],[],0,0,4000,24,5,0,0,1,31,E,0.0,7,1500,138.9543509867508,0,0,0
