decoder,true_error_weight,block_error_rate,avg_queries,avg_elapsed_ms
strong_symbolic,14,1.0,3999.0,185.28275351311274
strong_symbolic,15,1.0,3999.0,185.67211663425644
strong_symbolic,16,1.0,3999.0,185.05008986138563
strong_symbolic,17,1.0,3999.0,184.32143442676127
strong_symbolic,18,1.0,3999.0,183.85226732293697
strong_symbolic,19,1.0,3999.0,184.08429301425554
strong_symbolic,20,1.0,3999.0,183.1558684081742
strong_symbolic,21,1.0,3999.0,182.62575111551203
strong_symbolic,22,1.0,3999.0,181.88281709204617
strong_symbolic,23,1.0,3999.0,181.5273867141768
strong_symbolic,24,1.0,3999.0,180.81422696128166
strong_symbolic,25,1.0,3999.0,180.6440417848741
strong_symbolic,26,1.0,3999.0,180.5896672516825
strong_symbolic,27,1.0,3999.0,181.06295840471736
strong_symbolic,28,1.0,3999.0,179.9305776806039
strong_symbolic,29,1.0,3999.0,180.09346263412544
strong_symbolic,30,1.0,3999.0,179.8109183482904
strong_symbolic,31,1.0,3999.0,180.47049849863268
strong_symbolic,32,1.0,3999.0,180.44063063147902
strong_symbolic,33,1.0,3999.0,180.28898031583853
strong_symbolic,34,1.0,3999.0,178.83320749299884
strong_symbolic,35,1.0,3999.0,180.29530716083218
strong_symbolic,36,1.0,3999.0,181.7600529640913
strong_symbolic,37,1.0,3999.0,179.6953264856711
strong_symbolic,38,1.0,3999.0,182.1990076984678
strong_symbolic,39,1.0,3999.0,178.24790896847844
strong_symbolic,40,1.0,3999.0,177.09986133767026
strong_symbolic,41,1.0,3999.0,172.14624397456646
strong_symbolic,42,1.0,3999.0,188.8825288042426
strong_symbolic,44,1.0,3999.0,188.47057013772428
