decoder,true_error_weight,block_error_rate,avg_queries,avg_elapsed_ms
strong_symbolic,10,1.0,3999.0,172.4865354767228
strong_symbolic,11,1.0,3999.0,172.41717450974255
strong_symbolic,12,1.0,3999.0,171.94581251250608
strong_symbolic,13,1.0,3999.0,171.50637909499244
strong_symbolic,14,1.0,3999.0,171.57670806650398
strong_symbolic,15,1.0,3999.0,171.22647247721656
strong_symbolic,16,1.0,3999.0,171.05462848314406
strong_symbolic,17,1.0,3999.0,170.9197741659844
strong_symbolic,18,1.0,3999.0,170.65095434173756
strong_symbolic,19,1.0,3999.0,170.89163366809626
strong_symbolic,20,1.0,3999.0,170.11172663496464
strong_symbolic,21,1.0,3999.0,169.4629099704093
strong_symbolic,22,1.0,3999.0,169.34445200732958
strong_symbolic,23,1.0,3999.0,169.36127803884935
strong_symbolic,24,1.0,3999.0,168.2762391319927
strong_symbolic,25,1.0,3999.0,167.9020291420369
strong_symbolic,26,1.0,3999.0,167.99650287502627
strong_symbolic,27,1.0,3999.0,167.60991135981448
strong_symbolic,28,1.0,3999.0,167.6676113670865
strong_symbolic,29,1.0,3999.0,167.99482046145545
strong_symbolic,30,1.0,3999.0,167.34231306383242
strong_symbolic,31,1.0,3999.0,167.21611278759835
strong_symbolic,32,1.0,3999.0,169.4517047574703
strong_symbolic,33,1.0,3999.0,168.22448934117952
strong_symbolic,34,1.0,3999.0,170.52844509298941
strong_symbolic,35,1.0,3999.0,167.38143157607948
strong_symbolic,36,1.0,3999.0,166.1733206811136
strong_symbolic,37,1.0,3999.0,171.31390404843148
strong_symbolic,38,1.0,3999.0,168.65937588736415
strong_symbolic,39,1.0,3999.0,162.66913867245117
strong_symbolic,40,1.0,3999.0,168.2599614973047
strong_symbolic,41,1.0,3999.0,159.92021397687495
strong_symbolic,42,1.0,3999.0,180.03256898373365
strong_symbolic,44,1.0,3999.0,177.60174698196352
strong_symbolic,48,1.0,3999.0,160.98925401456654
