profile,snr_db,confidence_bin,count,success_rate,bler,fallback_rate,avg_queries
C,6.0,"(0.5, 0.6]",2,0.0,1.0,1.0,3999.0
C,6.0,"(0.6, 0.7]",7,0.14285714285714285,0.8571428571428571,0.8571428571428571,3427.8571428571427
C,6.0,"(0.7, 0.8]",8,0.625,0.375,0.75,1963.875
C,6.0,"(0.8, 0.9]",13,0.8461538461538461,0.15384615384615385,0.3076923076923077,1082.3076923076924
C,6.0,"(0.9, 1.0]",1074,0.9953445065176909,0.004655493482309125,0.010242085661080074,27.125698324022345
E,-4.0,"(-0.001, 0.1]",1200,0.0,1.0,1.0,3999.0
E,-4.0,"(0.1, 0.2]",0,,,,
E,-4.0,"(0.2, 0.3]",0,,,,
E,-4.0,"(0.3, 0.4]",0,,,,
E,-4.0,"(0.4, 0.5]",0,,,,
E,-4.0,"(0.5, 0.6]",0,,,,
E,-4.0,"(0.6, 0.7]",0,,,,
E,-4.0,"(0.7, 0.8]",0,,,,
E,-4.0,"(0.8, 0.9]",0,,,,
E,-4.0,"(0.9, 1.0]",0,,,,
E,-2.0,"(-0.001, 0.1]",1200,0.0,1.0,1.0,3999.0
E,-2.0,"(0.1, 0.2]",0,,,,
E,-2.0,"(0.2, 0.3]",0,,,,
E,-2.0,"(0.3, 0.4]",0,,,,
E,-2.0,"(0.4, 0.5]",0,,,,
E,-2.0,"(0.5, 0.6]",0,,,,
E,-2.0,"(0.6, 0.7]",0,,,,
E,-2.0,"(0.7, 0.8]",0,,,,
E,-2.0,"(0.8, 0.9]",0,,,,
E,-2.0,"(0.9, 1.0]",0,,,,
E,0.0,"(-0.001, 0.1]",1187,0.0,1.0,1.0,3999.0
E,0.0,"(0.1, 0.2]",11,0.09090909090909091,0.9090909090909091,0.9090909090909091,3635.5454545454545
E,0.0,"(0.2, 0.3]",0,,,,
E,0.0,"(0.3, 0.4]",0,,,,
E,0.0,"(0.4, 0.5]",0,,,,
E,0.0,"(0.5, 0.6]",1,1.0,0.0,0.0,92.0
E,0.0,"(0.6, 0.7]",0,,,,
E,0.0,"(0.7, 0.8]",1,1.0,0.0,0.0,11.0
E,0.0,"(0.8, 0.9]",0,,,,
E,0.0,"(0.9, 1.0]",0,,,,
E,2.0,"(-0.001, 0.1]",418,0.0,1.0,1.0,3999.0
E,2.0,"(0.1, 0.2]",113,0.04424778761061947,0.9557522123893806,0.9646017699115044,3848.5575221238937
E,2.0,"(0.2, 0.3]",80,0.2625,0.7375,0.7875,3104.6
E,2.0,"(0.3, 0.4]",64,0.484375,0.515625,0.59375,2391.859375
E,2.0,"(0.4, 0.5]",52,0.5384615384615384,0.5192307692307693,0.5576923076923077,2297.673076923077
E,2.0,"(0.5, 0.6]",54,0.6296296296296297,0.4074074074074074,0.4444444444444444,1921.3703703703704
E,2.0,"(0.6, 0.7]",56,0.7857142857142857,0.3392857142857143,0.2857142857142857,1204.1964285714287
E,2.0,"(0.7, 0.8]",75,0.8666666666666667,0.2,0.21333333333333335,872.56
E,2.0,"(0.8, 0.9]",111,0.9279279279279279,0.16216216216216217,0.0990990990990991,437.5945945945946
E,2.0,"(0.9, 1.0]",177,0.9943502824858758,0.03954802259887006,0.022598870056497175,85.13559322033899
E,4.0,"(-0.001, 0.1]",19,0.0,1.0,1.0,3999.0
E,4.0,"(0.1, 0.2]",10,0.0,1.0,1.0,3999.0
E,4.0,"(0.2, 0.3]",9,0.3333333333333333,0.6666666666666666,0.6666666666666666,2671.3333333333335
E,4.0,"(0.3, 0.4]",6,0.16666666666666666,0.8333333333333334,0.8333333333333334,3332.6666666666665
E,4.0,"(0.4, 0.5]",9,0.4444444444444444,0.6666666666666666,0.5555555555555556,2222.4444444444443
E,4.0,"(0.5, 0.6]",13,0.5384615384615384,0.5384615384615384,0.6153846153846154,2146.230769230769
E,4.0,"(0.6, 0.7]",18,0.8333333333333334,0.16666666666666666,0.3888888888888889,1132.4444444444443
E,4.0,"(0.7, 0.8]",19,0.6842105263157895,0.3684210526315789,0.3157894736842105,1496.4736842105262
E,4.0,"(0.8, 0.9]",58,0.9482758620689655,0.10344827586206896,0.1206896551724138,302.5689655172414
E,4.0,"(0.9, 1.0]",1039,0.9932627526467758,0.017324350336862367,0.026948989412897015,53.72858517805582
E,6.0,"(-0.001, 0.1]",0,,,,
E,6.0,"(0.1, 0.2]",0,,,,
E,6.0,"(0.2, 0.3]",2,0.0,1.0,1.0,3999.0
E,6.0,"(0.3, 0.4]",0,,,,
E,6.0,"(0.4, 0.5]",0,,,,
E,6.0,"(0.5, 0.6]",0,,,,
E,6.0,"(0.6, 0.7]",0,,,,
E,6.0,"(0.7, 0.8]",0,,,,
E,6.0,"(0.8, 0.9]",2,1.0,0.0,0.0,8.5
E,6.0,"(0.9, 1.0]",1196,0.9991638795986622,0.0016722408026755853,0.0033444816053511705,5.867056856187291
