strong_symbolic_sample_id,strong_symbolic_profile,strong_symbolic_profile_id,strong_symbolic_snr_db,strong_symbolic_decoder,strong_symbolic_true_error_weight,strong_symbolic_decoder_success,strong_symbolic_block_error,strong_symbolic_bit_errors,strong_symbolic_queries,strong_symbolic_primary_queries,strong_symbolic_fallback_queries,strong_symbolic_elapsed_ms,strong_symbolic_primary_elapsed_ms,strong_symbolic_fallback_elapsed_ms,strong_symbolic_fallback_used,strong_symbolic_candidate_pool_size,strong_symbolic_oracle_pool_hit,strong_symbolic_predicted_weight_top,strong_symbolic_confidence_prob,strong_symbolic_predicted_overflow_prob,strong_symbolic_stage,strong_symbolic_gate_reason,strong_symbolic_search_mode,strong_symbolic_policy_action,strong_symbolic_allowed_weights_json,strong_symbolic_top_segment_ids_json,strong_symbolic_pool_positions_top10_json,strong_symbolic_predicted_weight_distribution_json,strong_symbolic_primary_budget,strong_symbolic_primary_max_weight,strong_symbolic_fallback_budget,strong_symbolic_fallback_pool_size,strong_symbolic_fallback_max_weight,strong_symbolic_ai_success,strong_symbolic_fallback_success,strong_symbolic_presearch_gate,nsgrand_sample_id,nsgrand_profile,nsgrand_profile_id,nsgrand_snr_db,nsgrand_decoder,nsgrand_true_error_weight,nsgrand_decoder_success,nsgrand_block_error,nsgrand_bit_errors,nsgrand_queries,nsgrand_primary_queries,nsgrand_fallback_queries,nsgrand_elapsed_ms,nsgrand_primary_elapsed_ms,nsgrand_fallback_elapsed_ms,nsgrand_fallback_used,nsgrand_candidate_pool_size,nsgrand_oracle_pool_hit,nsgrand_predicted_weight_top,nsgrand_confidence_prob,nsgrand_predicted_overflow_prob,nsgrand_stage,nsgrand_gate_reason,nsgrand_search_mode,nsgrand_policy_action,nsgrand_allowed_weights_json,nsgrand_top_segment_ids_json,nsgrand_pool_positions_top10_json,nsgrand_predicted_weight_distribution_json,nsgrand_primary_budget,nsgrand_primary_max_weight,nsgrand_fallback_budget,nsgrand_fallback_pool_size,nsgrand_fallback_max_weight,nsgrand_ai_success,nsgrand_fallback_success,nsgrand_presearch_gate,sample_id,profile,snr_db,true_error_weight,reference_decoder,target_decoder,query_delta,latency_delta_ms,block_error_delta,nsgrand_better_block_error,strong_symbolic_better_block_error
20,C,1,-2.0,strong_symbolic,16,0,1,16,3999,3999,0,168.22880413383245,168.22880413383245,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[28, 91, 113, 58, 81, 46, 44, 4, 93, 99]",[],0,0,0,0,0,0,0,0,20,C,1,-2.0,nsgrand,16,0,1,16,0,0,0,1.624356023967266,1.624356023967266,0.0,0,0,-1,5,8.55417238199152e-05,0.9999620914459229,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,20,C,-2.0,16,strong_symbolic,nsgrand,-3999,-166.6044481098652,0,0,0
21,C,1,-2.0,strong_symbolic,34,0,1,34,3999,3999,0,167.32975095510483,167.32975095510483,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[126, 60, 22, 53, 19, 61, 42, 54, 59, 57]",[],0,0,0,0,0,0,0,0,21,C,1,-2.0,nsgrand,34,0,1,34,0,0,0,1.313858898356557,1.313858898356557,0.0,0,0,-1,5,5.424186019808985e-05,0.9999686479568481,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,21,C,-2.0,34,strong_symbolic,nsgrand,-3999,-166.01589205674827,0,0,0
22,C,1,-2.0,strong_symbolic,19,0,1,19,3999,3999,0,169.32622506283224,169.32622506283224,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[107, 16, 10, 11, 112, 4, 84, 120, 69, 78]",[],0,0,0,0,0,0,0,0,22,C,1,-2.0,nsgrand,19,0,1,19,0,0,0,1.310188788920641,1.310188788920641,0.0,0,0,-1,5,4.214576620142907e-05,0.9999728202819824,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,22,C,-2.0,19,strong_symbolic,nsgrand,-3999,-168.0160362739116,0,0,0
23,C,1,-2.0,strong_symbolic,21,0,1,21,3999,3999,0,170.3977060969919,170.3977060969919,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[116, 86, 88, 22, 115, 108, 66, 68, 16, 0]",[],0,0,0,0,0,0,0,0,23,C,1,-2.0,nsgrand,21,0,1,21,0,0,0,1.2598198372870684,1.2598198372870684,0.0,0,0,-1,5,6.208855484146625e-05,0.999964714050293,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,23,C,-2.0,21,strong_symbolic,nsgrand,-3999,-169.13788625970483,0,0,0
24,C,1,-2.0,strong_symbolic,14,0,1,14,3999,3999,0,166.95530386641622,166.95530386641622,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[115, 89, 14, 34, 82, 77, 64, 96, 16, 63]",[],0,0,0,0,0,0,0,0,24,C,1,-2.0,nsgrand,14,0,1,14,0,0,0,1.2247199192643166,1.2247199192643166,0.0,0,0,-1,5,0.0002191100356867537,0.9999598264694214,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,24,C,-2.0,14,strong_symbolic,nsgrand,-3999,-165.7305839471519,0,0,0
25,C,1,-2.0,strong_symbolic,13,0,1,13,3999,3999,0,168.43345179222524,168.43345179222524,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[25, 119, 13, 80, 68, 111, 28, 50, 93, 97]",[],0,0,0,0,0,0,0,0,25,C,1,-2.0,nsgrand,13,0,1,13,0,0,0,1.2317888904362917,1.2317888904362917,0.0,0,0,-1,5,0.0002089522167807445,0.999754011631012,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,25,C,-2.0,13,strong_symbolic,nsgrand,-3999,-167.20166290178895,0,0,0
26,C,1,-2.0,strong_symbolic,16,0,1,16,3999,3999,0,167.32521099038422,167.32521099038422,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[77, 44, 32, 18, 45, 59, 42, 126, 12, 29]",[],0,0,0,0,0,0,0,0,26,C,1,-2.0,nsgrand,16,0,1,16,0,0,0,1.305958954617381,1.305958954617381,0.0,0,0,-1,5,8.628602518001571e-05,0.9999723434448242,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,26,C,-2.0,16,strong_symbolic,nsgrand,-3999,-166.01925203576684,0,0,0
27,C,1,-2.0,strong_symbolic,23,0,1,23,3999,3999,0,168.54874091222882,168.54874091222882,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[92, 103, 57, 117, 46, 8, 75, 3, 50, 86]",[],0,0,0,0,0,0,0,0,27,C,1,-2.0,nsgrand,23,0,1,23,0,0,0,1.3481590431183577,1.3481590431183577,0.0,0,0,-1,5,5.2753599447896704e-05,0.9999674558639526,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,27,C,-2.0,23,strong_symbolic,nsgrand,-3999,-167.20058186911047,0,0,0
28,C,1,-2.0,strong_symbolic,20,0,1,20,3999,3999,0,171.98231210932136,171.98231210932136,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[71, 68, 73, 74, 78, 75, 51, 64, 105, 83]",[],0,0,0,0,0,0,0,0,28,C,1,-2.0,nsgrand,20,0,1,20,0,0,0,1.2345400173217058,1.2345400173217058,0.0,0,0,-1,5,4.638040263671428e-05,0.9999712705612183,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,28,C,-2.0,20,strong_symbolic,nsgrand,-3999,-170.74777209199965,0,0,0
29,C,1,-2.0,strong_symbolic,13,0,1,13,3999,3999,0,168.39239210821688,168.39239210821688,0.0,0,24,0,-1,,,baseline_fail,baseline_exhausted,none,none,"[0, 1, 2, 3, 4, 5]",[],"[15, 41, 23, 65, 66, 99, 2, 76, 71, 49]",[],0,0,0,0,0,0,0,0,29,C,1,-2.0,nsgrand,13,0,1,13,0,0,0,1.4409280847758055,1.4409280847758055,0.0,0,0,-1,5,0.00010529885912546888,0.9999430179595947,skip_hopeless,presearch_skip_hopeless,skip_hopeless,presearch_skip_hopeless,[],[],[],[],0,0,0,0,0,0,0,1,29,C,-2.0,13,strong_symbolic,nsgrand,-3999,-166.95146402344108,0,0,0
